Date,AAPL,GOOGL,MSFT
2023-09-18,176.07301330566406,137.17356872558594,323.569091796875
2023-09-19,177.1613006591797,137.00482177734375,323.1658935546875
2023-09-20,173.6194610595703,132.73707580566406,315.41741943359375
2023-09-21,172.07608032226562,129.46182250976562,314.1981201171875
2023-09-22,172.92689514160156,129.2732391357422,311.72015380859375
2023-09-25,174.2031707763672,130.12680053710938,312.2413635253906
2023-09-26,170.1270751953125,127.60585021972656,306.93145751953125
2023-09-27,168.6134033203125,129.56106567382812,307.5705871582031
2023-09-28,168.87063598632812,131.31781005859375,308.40643310546875
2023-09-29,169.3850860595703,129.87867736816406,310.48114013671875
2023-10-02,171.89801025390625,133.1638641357422,316.4302978515625
2023-10-03,170.56239318847656,131.4368896484375,308.1606140136719
2023-10-04,171.80897521972656,134.22581481933594,313.6376647949219
2023-10-05,173.04563903808594,134.05711364746094,314.03094482421875
2023-10-06,175.59814453125,136.54827880859375,321.7991638183594
2023-10-09,177.08216857910156,137.38197326660156,324.31646728515625
2023-10-10,176.48855590820312,137.02467346191406,322.9102478027344
2023-10-11,177.88352966308594,139.49600219726562,326.8730773925781
2023-10-12,178.7838134765625,137.92787170410156,325.634033203125
2023-10-13,176.94366455078125,136.32992553710938,322.2613220214844
2023-10-16,176.81504821777344,138.05690002441406,327.0894470214844
2023-10-17,175.26174926757812,138.6722412109375,326.51904296875
2023-10-18,173.96571350097656,136.9254608154297,324.6015625
2023-10-19,173.5897979736328,136.71701049804688,325.7914123535156
2023-10-20,171.0372772216797,134.5831298828125,321.21905517578125
2023-10-23,171.15599060058594,135.4763641357422,323.8247985839844
2023-10-24,171.59129333496094,137.76904296875,325.0145263671875
2023-10-25,169.27627563476562,124.66805267333984,334.9853820800781
2023-10-26,165.11111450195312,121.3630142211914,322.41864013671875
2023-10-27,166.42694091796875,121.25383758544922,324.3065490722656
2023-10-30,168.47486877441406,123.52667236328125,331.6814270019531
2023-10-31,168.94976806640625,123.14952850341797,332.4681091308594
2023-11-01,172.11563110351562,125.50175476074219,340.2953186035156
2023-11-02,175.67727661132812,126.53394317626953,342.5077209472656
2023-11-03,174.76705932617188,128.1318817138672,346.9129638671875
2023-11-06,177.319580078125,129.2732391357422,350.5807189941406
2023-11-07,179.88198852539062,129.98785400390625,354.5139465332031
2023-11-08,180.94056701660156,130.851318359375,357.139404296875
2023-11-09,180.46568298339844,129.26333618164062,354.67132568359375
